line_text,speaker
Why?,Mark Brendanawicz
I don't know.,Mark Brendanawicz
There's like a million reasons why.,Mark Brendanawicz
"Homeowners' associations, anti-government nuts, bureaucrats, miles of red tape--",Mark Brendanawicz
Really?,Leslie Knope
It sounds like you're telling me to go for it.,Leslie Knope
There's no way it can happen.,Mark Brendanawicz
I can do this.,Leslie Knope
I just need a little help.,Leslie Knope
"Could you do me a favor, for old times' sake?",Leslie Knope
Mark and I-- It's complicated.,Leslie Knope
"When you work closely with someone and you share similar interests and you have a similar world view and you're passionate about the same things, things can happen.",Leslie Knope
We slept together.,Leslie Knope
Leslie?,Mark Brendanawicz
No.,Mark Brendanawicz
"Oh, my God.",Mark Brendanawicz
You know what?,Mark Brendanawicz
"Yeah, we did, like, five years ago.",Mark Brendanawicz
"I sort of-- No, but yeah.",Mark Brendanawicz
"Yeah, we did.",Mark Brendanawicz
"Honey, can you straighten up your area a little bit?",Ann Perkins
'Cause they're gonna be here soon.,Ann Perkins
Can-- Thanks.,Ann Perkins
"That parks lady is coming over, and we're gonna go take a look at the pit.",Ann Perkins
I think it's probably just a photo op for her.,Ann Perkins
"I mean, I don't think anybody in government actually cares about--",Ann Perkins
"Honey, do you mind doing that somewhere else?",Andy Dwyer
I'm trying to watch TV.,Andy Dwyer
I'm talking about the pit you fell in.,Ann Perkins
It's Ms. Perkins' house.,Leslie Knope
Doorbell!,Andy Dwyer
"Yeah, I heard it.",Ann Perkins
Doorbell!,Andy Dwyer
I heard it.,Ann Perkins
I'm getting it.,Ann Perkins
I'm here.,Leslie Knope
Hey!,Ann Perkins
Wow!,Ann Perkins
Look at that.,Ann Perkins
Safety.,Leslie Knope
You remember Tom from last night.,Leslie Knope
"Hey, Ann, how are you?",Tom Haverford
"Yeah, hey.",Ann Perkins
Of course I do.,Ann Perkins
"And this is our college intern, April.",Leslie Knope
She's going to be documenting our fact finding mission.,Leslie Knope
"Hey, April.",Ann Perkins
Hey.,April Ludgate
Is this fun for you?,Ann Perkins
"Yeah, it's so much fun.",April Ludgate
I'm just gonna grab my phone quickly.,Ann Perkins
Sorry.,Ann Perkins
This must be our hero.,Leslie Knope
The man heard 'round the world.,Leslie Knope
Uh-huh.,Andy Dwyer
"How you doing, son?",Leslie Knope
Pretty good.,Andy Dwyer
I'm Leslie Knope.,Leslie Knope
And the entire government of Pawnee would like to let you know that we will do everything we can to help you.,Leslie Knope
Could you pass me my itch stick?,Andy Dwyer
Of course.,Leslie Knope
"So, Andy jumped over this fence.",Ann Perkins
"He was crossing through to get home, and then he fell right there.",Ann Perkins
"Oh, my God.",Leslie Knope
How did we let this happen?,Leslie Knope
"Dream with me for a second, Ann.",Leslie Knope
Doesn't this neighborhood deserve a first-class park?,Leslie Knope
"Imagine a shiny new playground with a jungle gym and swings, pool, tennis courts, volleyball courts, racquetball courts, basketball court, regulation football field.",Leslie Knope
We could put an amphitheatre over there with Shakespeare in the Park.,Leslie Knope
It's really not that big of a pit.,Ann Perkins
We could do some of those things.,Leslie Knope
It's gonna take a little extra work.,Leslie Knope
But why not try?,Leslie Knope
I think that would be great.,Ann Perkins
"Me, too.",Leslie Knope
I'm going in.,Leslie Knope
Why?,Ann Perkins
Don't worry.,Leslie Knope
I have a hard hat on.,Leslie Knope
"I can see that, but--",Ann Perkins
Yeah.,Leslie Knope
"April, document this.",Leslie Knope
Document what?,April Ludgate
"The key to any factfinding mission is to get right into the battle zone, you know?",Leslie Knope
It's like George Bush when he flew over New Orleans or Richard Nixon when he went to China to see what the Chinese were up to.,Leslie Knope
No!,Leslie Knope
"Leslie, are you okay?",Ann Perkins
Leslie!,Tom Haverford
"Hold on, April's gonna get some photos for the website.",Tom Haverford
Could you just be still?,April Ludgate
Don't move around as much.,Tom Haverford
"Okay, squeeze my fingers.",Ann Perkins
Good.,Ann Perkins
Does it hurt a lot?,Ann Perkins
No.,Leslie Knope
Mmmmmm.,Leslie Knope
I'm fine.,Leslie Knope
"No, you're not.",Ann Perkins
Good thing I was wearing that hard hat.,Leslie Knope
But it-- It fell off.,Ann Perkins
After my head hit that rod.,Leslie Knope
Wow.,Ann Perkins
"I can't believe you fell in, too.",Andy Dwyer
That's awesome.,Andy Dwyer
"It's not awesome, Andy.",Ann Perkins
"Well, at least my boss will listen to me now that I broke my clavicle.",Leslie Knope
It's not broken.,Ann Perkins
It is.,Leslie Knope
Do you have one of those neck foam collar brace things?,Leslie Knope
"Honestly, you're fine.",Ann Perkins
"Honestly, my clavicle's broken.",Leslie Knope
"Oh, hey, baby, if you're going to the kitchen, could you make me pancakes real quick?",Andy Dwyer
Sure.,Ann Perkins
Ooh!,Leslie Knope
Are pancakes being made?,Leslie Knope
Thank you.,Leslie Knope
Sure.,Ann Perkins
"I don't know, she's a little doofy, but she's sweet.",Ann Perkins
"Ron, please.",Leslie Knope
No.,Ron Swanson
No way.,Ron Swanson
"Come on, Ron.",Leslie Knope
I've been a loyal foot soldier.,Leslie Knope
Give me my shot.,Leslie Knope
Let me have Lot 48.,Leslie Knope
Is that a travel pillow around your neck?,Ron Swanson
"Ron, I don't know how to explain this to you.",Leslie Knope
When you've been down in the pit-- Have you been in the pit?,Leslie Knope
"No, I haven't gotten down there yet.",Ron Swanson
"Well, I have.",Leslie Knope
When you fell in.,Ron Swanson
When I visited the bottom of the pit on a fact finding mission.,Leslie Knope
"And when you're down there, you get some perspective about what it all means.",Leslie Knope
"And let me tell you something, Ron.",Leslie Knope
What it means is I want this subcommittee.,Leslie Knope
I've been quite open about this around the office.,Ron Swanson
I don't want this Parks Department to build any parks because I don't believe in government.,Ron Swanson
I think that all government is a waste of taxpayer money.,Ron Swanson
My dream is to have the park system privatized and run entirely for profit by corporations.,Ron Swanson
Like Chuck E. Cheese.,Ron Swanson
They have an impeccable business model.,Ron Swanson
I would rather work for Chuck E. Cheese.,Ron Swanson
"Well, I will definitely think about it.",Ron Swanson
I like the sound of that definitely.,Leslie Knope
I'm gonna leave before you change your mind.,Leslie Knope
"Mr. Swanson, I presume.",Leslie Knope
Lot 46 thoughts? Yes? No? Me? Park?,Leslie Knope
Giving the park to me?,Leslie Knope
Still mulling.,Ron Swanson
She's insatiable.,Ron Swanson
She's like a little dog with a chew toy.,Ron Swanson
"All right, you guys.",Leslie Knope
"All right, all right.",Leslie Knope
I'll ask him.,Leslie Knope
Everybody wants to know what your decision is.,Leslie Knope
Someone on the phone about the park.,Leslie Knope
"You know, I don't think I even want it.",Leslie Knope
Oh man.,Leslie Knope
My clavicle's still really hurting me.,Leslie Knope
Oh!,Tom Haverford
This is a great shot.,Tom Haverford
I know.,April Ludgate
That's awesome.,Tom Haverford
I think she's crying in that one.,April Ludgate
Look at this one.,April Ludgate
"Hey, kids.",Mark Brendanawicz
That's another good one.,Tom Haverford
Hey.,April Ludgate
"Hey, Brendanawicz.",Tom Haverford
You gotta come check this out.,Tom Haverford
"Leslie took us out to that pit in Lot 48, and she fell inside.",Tom Haverford
And we have some awesome photos.,Tom Haverford
One.,April Ludgate
Is she okay?,Mark Brendanawicz
"Yeah, she's fine.",Tom Haverford
Oh! This is a classic.,Tom Haverford
That's the best one.,April Ludgate
The up-skirt photo.,Tom Haverford
Awesome.,Tom Haverford
"Hey, man.",Tom Haverford
Give me the photo back.,Tom Haverford
What's going on?,Tom Haverford
Don't worry.,April Ludgate
I can print more.,April Ludgate
Leslie is unique.,Mark Brendanawicz
Government work can beat you down.,Mark Brendanawicz
I would say that I lost my optimism about government in about two months.,Mark Brendanawicz
Leslie's kept hers for six years.,Mark Brendanawicz
"I've got a few rules about how to survive and prosper in a government job, and I think I'm about to break one of those rules.",Mark Brendanawicz
I want you to give Lot 48 to Leslie so she can try to build a park.,Mark Brendanawicz
Why should I?,Ron Swanson
"You owe me one, remember?",Mark Brendanawicz
Do you want to cash in for this?,Ron Swanson
"Yeah, I do.",Mark Brendanawicz
"So this was built in 1935, it's called Pioneer Hall. And a little trivia, it is one of the first structures in America to ever have locks.",Leslie Knope
Wow!,Ann Perkins
"Oh, yeah.",Leslie Knope
This is our crown jewel.,Leslie Knope
It's one of our best murals.,Leslie Knope
It depicts the very famous battle at Conega Creek.,Leslie Knope
"We have a lot of children visit, so often we have to cover up the more gruesome parts with a poster.",Leslie Knope
That is horrifying.,Ann Perkins
"Yes, it is.",Leslie Knope
"So, what do you want to see? The DMV? Animal control? Or we could--",Leslie Knope
Leslie! We did it.,Tom Haverford
Ron's approved our committee.,Tom Haverford
"Oh, my God.",Ann Perkins
That's great!,Leslie Knope
That's so great.,Ann Perkins
That's so exciting! This is huge.,Leslie Knope
"I'm barely 34, and I've already landed a Parks Department exploratory subcommittee.",Leslie Knope
I'm a rocket ship.,Leslie Knope
Leslie.,Mark Brendanawicz
I just heard the news.,Mark Brendanawicz
Hey.,Leslie Knope
Isn't it great?,Leslie Knope
Congratulations.,Mark Brendanawicz
Thank you.,Leslie Knope
I'm so excited.,Leslie Knope
"It's exciting, isn't it?",Leslie Knope
It is.,Mark Brendanawicz
Yeah.,Leslie Knope
"Should I call a press conference now, or--",Leslie Knope
"Yeah, call one.",Tom Haverford
Definitely.,Tom Haverford
I would.,Mark Brendanawicz
"Every now and then we have these little gatherings, and Leslie gets plastered.",Tom Haverford
One time I convinced her to try to fax someone a Fruit Roll-Up.,Tom Haverford
She one time made out with the water delivery guy in her office.,Tom Haverford
"On Halloween, she was dressed up as Batman.",Tom Haverford
Not Batgirl.,Tom Haverford
Batman.,Tom Haverford
And I convinced her to go stop a crime that was going on outside.,Tom Haverford
And it is my favorite thing in the world.,Tom Haverford
You know what?,Leslie Knope
America is awesome.,Leslie Knope
It's so full of hope and small towns and big cities and real people and delicious beverages and hot guys.,Leslie Knope
You just never know when opportunity is gonna strike.,Leslie Knope
Yeah.,Ann Perkins
You gotta be ready for it.,Leslie Knope
Yeah.,Ann Perkins
Are you excited?,Leslie Knope
Definitely am.,Ann Perkins
Fired up.,Ann Perkins
Yeah!,Leslie Knope
I'm really fired up.,Ann Perkins
"You know they say that democracy or whatever only works when people get involved? Well, I'm getting involved.",Ann Perkins
So I am gonna make a vow now that I will do whatever it takes to get this pit filled in.,Ann Perkins
Even if it takes two months.,Ann Perkins
"Soul sista, soul sista Gonna get your phone, sista",Leslie Knope
Yeah.,Ann Perkins
Sweet Lady Marmalard,Leslie Knope
I've created this office as a symbol of how I feel about government.,Ron Swanson
This sawed-off shotgun belonged to a local bootlegger.,Ron Swanson
People who come in here to ask me for things have to stare right down the barrel.,Ron Swanson
Did you guys get a grant to do this? This is my basketball court.,Ron Swanson
I don't want to see any double dribble.,Ron Swanson
I don't want to see any three second violations.,Ron Swanson
Bobby Knight!,Ron Swanson
"Well, one of the funner things that we do here in Pawnee is the annual Easter egg hunt.",Leslie Knope
"Tom hides the eggs, and I have to say he did an exceptional job this year.",Leslie Knope
I've been searching for 25 minutes and I haven't found a single egg.,Leslie Knope
And I'm an adult.,Leslie Knope
Oh.,Tom Haverford
"Yeah, I forgot to do that.",Tom Haverford
Maybe Tom's trying to make this year a challenge.,Leslie Knope
"And if so, he's succeeding.",Leslie Knope
I don't think a single egg has been found yet.,Leslie Knope
Let's keep looking.,Leslie Knope
We're gonna find one.,Leslie Knope
I'm going to see my mom.,Leslie Knope
She's a big mucky-muck in the county school system.,Leslie Knope
She's my hero.,Leslie Knope
How do I explain her?,Leslie Knope
She's as respected as Mother Teresa.,Leslie Knope
"She's as powerful as Stalin, and she's as beautiful as Margaret Thatcher.",Leslie Knope
"In or out, Leslie.",Marlene Griggs-Knope
Doorway is creepy.,Marlene Griggs-Knope
"Right, sorry.",Leslie Knope
Choosing in.,Leslie Knope
"So, what do you want, Leslie?",Marlene Griggs-Knope
"Just here to gossip, gab, chat, stuff we do.",Leslie Knope
"But it looks like you're super busy, and I am super busy, so I shall bid you adieu.",Leslie Knope
Oh.,Leslie Knope
That's weird.,Leslie Knope
I just remembered something.,Leslie Knope
I have my own subcommittee now.,Leslie Knope
Yeah.,Leslie Knope
I'm sure you've heard something about it.,Leslie Knope
People are talking about it.,Leslie Knope
No.,Marlene Griggs-Knope
Oh.,Leslie Knope
Well.,Leslie Knope
"Anyway, we're having a town hall meeting tomorrow at 7:00 p.m. at the Smithfield Community Center.",Leslie Knope
Mmm.,Marlene Griggs-Knope
"Yeah, I'm leading it.",Leslie Knope
It's no biggie.,Leslie Knope
"I mean, it is.",Leslie Knope
It's a big deal.,Leslie Knope
"I mean, I don't know.",Leslie Knope
You know-- You want to come?,Leslie Knope
Oh.,Marlene Griggs-Knope
"Honey, Geez.",Marlene Griggs-Knope
You know how busy I am.,Marlene Griggs-Knope
I know.,Leslie Knope
I know.,Leslie Knope
I know!,Leslie Knope
That's why I fake invited you.,Leslie Knope
I'll try to be there.,Marlene Griggs-Knope
Okay.,Leslie Knope
"So, everybody's here.",Leslie Knope
Let's get started.,Leslie Knope
Ow!,Mark Brendanawicz
Sorry.,Leslie Knope
"Oh, I'm sorry.",Leslie Knope
Metal.,Leslie Knope
Sorry.,Leslie Knope
That's really loud.,Marlene Griggs-Knope
Subcommittee members.,Leslie Knope
Are we prepared for tomorrow night?,Leslie Knope
"Tom, have you booked the hall yet?",Leslie Knope
"Yes, sir.",Tom Haverford
"Ann, did you clear your schedule?",Leslie Knope
I did.,Ann Perkins
I changed my shift.,Ann Perkins
Okay.,Leslie Knope
"Leslie, I just have to say, I think you might be taking this to the public a little bit too soon.",Mark Brendanawicz
It literally doesn't matter what you propose to the public.,Mark Brendanawicz
"They might call for a vote, and if they vote you down, then you're done.",Mark Brendanawicz
I don't care if there's gonna be a vote.,Leslie Knope
"I have a secret weapon, canvassing.",Leslie Knope
Nothing better than good old-fashioned door-to-door campaigning.,Leslie Knope
I'm not above using my expertise to change hearts and minds if the cause is just.,Leslie Knope
"When I was in sixth grade, I was voted Best Dressed by 87 votes.",Leslie Knope
And there were only 63 people in my class. Andy fell into that pit.,Leslie Knope
I fell into that pit.,Leslie Knope
How many more Pawnee citizens are gonna have to fall into that pit before we turn it into a park?,Leslie Knope
Zero.,Leslie Knope
Say it.,Leslie Knope
Zero.,Tom Haverford
Zero.,Mark Brendanawicz
A hundred.,April Ludgate
Zero.,Ann Perkins
I've got some sunscreen for your beaks.,Leslie Knope
"Tom, you probably won't need any.",Leslie Knope
Uhâ¦. And this is our canvassing guide.,Leslie Knope
This is gonna be the script that we use when we speak with people.,Leslie Knope
"""If a person is a man, turn to page two.""",Mark Brendanawicz
"""If the person looks like a celebrity, example, Jack Nicholson, use this to help your pitch.""",Tom Haverford
"""Example, 'You can't handle the pit.'""",Tom Haverford
"""That's why we need to turn it into a park.""",Tom Haverford
Oh.,Ann Perkins
This is really thorough.,Ann Perkins
Ann and I are a team.,Leslie Knope
You guys are a team.,Leslie Knope
"We have even sectors, you guys have odd sectors.",Leslie Knope
And we're gonna win.,Leslie Knope
Yeah.,Ann Perkins
Win what?,April Ludgate
Go!,Leslie Knope
Okay.,Leslie Knope
"Ooh, someone's in there.",Leslie Knope
This is gonna be fun.,Leslie Knope
Are you excited?,Leslie Knope
"Excited, yeah.",Ann Perkins
Are you ready?,Leslie Knope
"Yes, definitely.",Ann Perkins
Are you pumped up?,Leslie Knope
Yes!,Ann Perkins
Look humble.,Leslie Knope
But confident.,Leslie Knope
Good afternoon.,Leslie Knope
We are representatives from your local government.,Leslie Knope
May we speak with you for a moment about the Sullivan Street pit?,Leslie Knope
Sure.,Extra
Excellent!,Leslie Knope
Positive response.,Leslie Knope
How would you feel if we turned that pit into a beautiful community park?,Leslie Knope
Oh.,Extra
Yeah.,Extra
That'd be a great idea.,Extra
Oh.,Ann Perkins
Good.,Ann Perkins
I actually live in the neighborhood So I could probably tell you a little bit about--,Ann Perkins
That's-- Go to section three.,Leslie Knope
Okay.,Ann Perkins
"Um, We are having a public forum tomorrow night.",Ann Perkins
"And it would be great if you could come, voice your strong support.",Ann Perkins
Tomorrow?,Extra
I can't.,Extra
I'm busy.,Extra
Sorry.,Extra
Oh.,Leslie Knope
"Yes, we understand that people are busy, but we would love for you to come to the meeting and toâ¦",Leslie Knope
Sorry.,Extra
"Good luck, though.",Extra
I'm all for a park.,Extra
Would it change your mind if we told you that--,Ann Perkins
She's gone.,Leslie Knope
"Yeah, a park, huh?",Extra
That sounds like a really good idea.,Extra
Great.,Mark Brendanawicz
Would you be willing to come to a town meeting and show your support?,Mark Brendanawicz
Absolutely.,Extra
"Now, is this park gonna have a playground or, you know, maybe a pool for the kids?",Extra
"Oh, how old are your kids?",Mark Brendanawicz
No kids.,Extra
Uh-oh.,Tom Haverford
I'm gonna put him down as a yes.,April Ludgate
Don't do that.,Mark Brendanawicz
"Also, is the park gonna be at least 1,000 feet from my house?",Extra
"Because, you know, I really can't move again.",Extra
"April, please stand behind me.",Mark Brendanawicz
That's it.,Mark Brendanawicz
That's all.,Mark Brendanawicz
That's all we've got.,Mark Brendanawicz
No flier?,Extra
Nope.,Mark Brendanawicz
Okay.,Extra
Thank you.,Extra
"Wow, man.",Mark Brendanawicz
This is great.,Mark Brendanawicz
This is so great.,Mark Brendanawicz
I love canvassing.,Mark Brendanawicz
What a great way to spend my time.,Mark Brendanawicz
"All right, Team Haverford.",Tom Haverford
"You guys are awesome, but I think I might work better as a solo artist.",Tom Haverford
"So, I'm gonna head out.",Tom Haverford
Peace.,Tom Haverford
He runs weird.,April Ludgate
He really does.,Mark Brendanawicz
It's a good idea.,Extra
But I'm just not sure.,Extra
Okay.,Ann Perkins
Which part are you not sure about?,Ann Perkins
Turning the pit into a park.,Extra
That's kind of the whole thing.,Ann Perkins
"Well, look, I think this is a great idea, but I can't make any forum.",Extra
I would have to get a babysitter.,Extra
How old are your kids?,Leslie Knope
Four and two.,Extra
Could the 4 year old watch the 2 year old?,Leslie Knope
Okay.,Ann Perkins
Mickey!,Tom Haverford
"What's up, buddy?",Tom Haverford
How's my number one sod man doing?,Tom Haverford
"Look, here's the one, two, three of the situation.",Tom Haverford
"One, we're building a new park, two, I'm on the committee, three, you're putting in the sod.",Tom Haverford
"And who knows, you know?",Tom Haverford
"Maybe, down the line, a situation will arise where you could hook me up.",Tom Haverford
